,forecast_date,target,target_end_date,location,location_name,type,quantile,value,Unnamed: 0
5782,2020-05-09,1 day ahead inc hosp,2020-05-10,8,Colorado,point,,129.00520799821888,
5783,2020-05-09,2 day ahead inc hosp,2020-05-11,8,Colorado,point,,128.99793084538186,
5784,2020-05-09,3 day ahead inc hosp,2020-05-12,8,Colorado,point,,128.96071209452217,
5785,2020-05-09,4 day ahead inc hosp,2020-05-13,8,Colorado,point,,128.89444206623358,
5786,2020-05-09,5 day ahead inc hosp,2020-05-14,8,Colorado,point,,128.79998950448058,
5787,2020-05-09,6 day ahead inc hosp,2020-05-15,8,Colorado,point,,128.67742070153358,
5788,2020-05-09,7 day ahead inc hosp,2020-05-16,8,Colorado,point,,128.52750571312944,
5789,2020-05-09,8 day ahead inc hosp,2020-05-17,8,Colorado,point,,128.35119653519564,
5790,2020-05-09,9 day ahead inc hosp,2020-05-18,8,Colorado,point,,128.1492793505794,
5791,2020-05-09,10 day ahead inc hosp,2020-05-19,8,Colorado,point,,127.9225050888398,
5792,2020-05-09,11 day ahead inc hosp,2020-05-20,8,Colorado,point,,127.6700885371785,
5793,2020-05-09,12 day ahead inc hosp,2020-05-21,8,Colorado,point,,127.39247448037277,
5794,2020-05-09,13 day ahead inc hosp,2020-05-22,8,Colorado,point,,127.09060333506184,
5795,2020-05-09,14 day ahead inc hosp,2020-05-23,8,Colorado,point,,126.76506974877847,
6720,2020-05-09,1 day ahead cum death,2020-05-10,9,Connecticut,point,,2683.1895978135544,
6721,2020-05-09,2 day ahead cum death,2020-05-11,9,Connecticut,point,,2757.926849440487,
6722,2020-05-09,3 day ahead cum death,2020-05-12,9,Connecticut,point,,2831.8651641138786,
6723,2020-05-09,4 day ahead cum death,2020-05-13,9,Connecticut,point,,2904.9157524734137,
6724,2020-05-09,5 day ahead cum death,2020-05-14,9,Connecticut,point,,2977.115088416058,
6725,2020-05-09,6 day ahead cum death,2020-05-15,9,Connecticut,point,,3048.428696047046,
6726,2020-05-09,7 day ahead cum death,2020-05-16,9,Connecticut,point,,3118.820198158272,
6727,2020-05-09,8 day ahead cum death,2020-05-17,9,Connecticut,point,,3188.2528045049944,
6728,2020-05-09,9 day ahead cum death,2020-05-18,9,Connecticut,point,,3256.6897248424707,
6729,2020-05-09,10 day ahead cum death,2020-05-19,9,Connecticut,point,,3324.094168925961,
6730,2020-05-09,11 day ahead cum death,2020-05-20,9,Connecticut,point,,3390.4293465107203,
6731,2020-05-09,12 day ahead cum death,2020-05-21,9,Connecticut,point,,3455.6663572603147,
6732,2020-05-09,13 day ahead cum death,2020-05-22,9,Connecticut,point,,3519.8115423212907,
6733,2020-05-09,14 day ahead cum death,2020-05-23,9,Connecticut,point,,3582.866292963145,
6734,2020-05-09,1 day ahead inc death,2020-05-10,9,Connecticut,point,,75.51570606069835,
6735,2020-05-09,2 day ahead inc death,2020-05-11,9,Connecticut,point,,74.73725162693266,
6736,2020-05-09,3 day ahead inc death,2020-05-12,9,Connecticut,point,,73.93831467339137,
6737,2020-05-09,4 day ahead inc death,2020-05-13,9,Connecticut,point,,73.05058835953541,
6738,2020-05-09,5 day ahead inc death,2020-05-14,9,Connecticut,point,,72.1993359426441,
6739,2020-05-09,6 day ahead inc death,2020-05-15,9,Connecticut,point,,71.31360763098782,
6740,2020-05-09,7 day ahead inc death,2020-05-16,9,Connecticut,point,,70.39150211122616,
6741,2020-05-09,8 day ahead inc death,2020-05-17,9,Connecticut,point,,69.43260634672255,
6742,2020-05-09,9 day ahead inc death,2020-05-18,9,Connecticut,point,,68.43692033747692,
6743,2020-05-09,10 day ahead inc death,2020-05-19,9,Connecticut,point,,67.40444408348903,
6744,2020-05-09,11 day ahead inc death,2020-05-20,9,Connecticut,point,,66.33517758475958,
6745,2020-05-09,12 day ahead inc death,2020-05-21,9,Connecticut,point,,65.23701074959502,
6746,2020-05-09,13 day ahead inc death,2020-05-22,9,Connecticut,point,,64.14518506097583,
6747,2020-05-09,14 day ahead inc death,2020-05-23,9,Connecticut,point,,63.054750641854774,
6748,2020-05-09,1 day ahead inc hosp,2020-05-10,9,Connecticut,point,,252.5896900562729,
6749,2020-05-09,2 day ahead inc hosp,2020-05-11,9,Connecticut,point,,249.5239008639602,
6750,2020-05-09,3 day ahead inc hosp,2020-05-12,9,Connecticut,point,,246.34260610535267,
6751,2020-05-09,4 day ahead inc hosp,2020-05-13,9,Connecticut,point,,243.06827646650365,
6752,2020-05-09,5 day ahead inc hosp,2020-05-14,9,Connecticut,point,,239.69260048352558,
6753,2020-05-09,6 day ahead inc hosp,2020-05-15,9,Connecticut,point,,236.22687970137932,
6754,2020-05-09,7 day ahead inc hosp,2020-05-16,9,Connecticut,point,,232.6814698203304,
6755,2020-05-09,8 day ahead inc hosp,2020-05-17,9,Connecticut,point,,229.066521067663,
6756,2020-05-09,9 day ahead inc hosp,2020-05-18,9,Connecticut,point,,225.39218367066127,
6757,2020-05-09,10 day ahead inc hosp,2020-05-19,9,Connecticut,point,,221.66860785661407,
6758,2020-05-09,11 day ahead inc hosp,2020-05-20,9,Connecticut,point,,217.9059438528032,
6759,2020-05-09,12 day ahead inc hosp,2020-05-21,9,Connecticut,point,,214.111914396176,
6760,2020-05-09,13 day ahead inc hosp,2020-05-22,9,Connecticut,point,,210.2848648640396,
6761,2020-05-09,14 day ahead inc hosp,2020-05-23,9,Connecticut,point,,206.4315631665961,
7686,2020-05-09,1 day ahead cum death,2020-05-10,10,Delaware,point,,245.44489639083724,
7687,2020-05-09,2 day ahead cum death,2020-05-11,10,Delaware,point,,254.05619806752918,
