,quantile,value,type,location,target,forecast_date,target_end_date
132,,421,point,1,2 wk ahead cum death,2020-05-03,2020-05-16
156,,494,point,1,3 wk ahead cum death,2020-05-03,2020-05-23
180,,565,point,1,4 wk ahead cum death,2020-05-03,2020-05-30
204,,91,point,5,1 wk ahead cum death,2020-05-03,2020-05-09
228,,119,point,5,2 wk ahead cum death,2020-05-03,2020-05-16
252,,157,point,5,3 wk ahead cum death,2020-05-03,2020-05-23
276,,217,point,5,4 wk ahead cum death,2020-05-03,2020-05-30
300,,420,point,4,1 wk ahead cum death,2020-05-03,2020-05-09
324,,501,point,4,2 wk ahead cum death,2020-05-03,2020-05-16
348,,593,point,4,3 wk ahead cum death,2020-05-03,2020-05-23
372,,684,point,4,4 wk ahead cum death,2020-05-03,2020-05-30
396,,2721,point,6,1 wk ahead cum death,2020-05-03,2020-05-09
420,,3178,point,6,2 wk ahead cum death,2020-05-03,2020-05-16
444,,3608,point,6,3 wk ahead cum death,2020-05-03,2020-05-23
468,,3995,point,6,4 wk ahead cum death,2020-05-03,2020-05-30
492,,1067,point,8,1 wk ahead cum death,2020-05-03,2020-05-09
516,,1259,point,8,2 wk ahead cum death,2020-05-03,2020-05-16
540,,1452,point,8,3 wk ahead cum death,2020-05-03,2020-05-23
564,,1621,point,8,4 wk ahead cum death,2020-05-03,2020-05-30
588,,2985,point,9,1 wk ahead cum death,2020-05-03,2020-05-09
612,,3381,point,9,2 wk ahead cum death,2020-05-03,2020-05-16
636,,3671,point,9,3 wk ahead cum death,2020-05-03,2020-05-23
660,,3920,point,9,4 wk ahead cum death,2020-05-03,2020-05-30
684,,331,point,11,1 wk ahead cum death,2020-05-03,2020-05-09
708,,421,point,11,2 wk ahead cum death,2020-05-03,2020-05-16
732,,512,point,11,3 wk ahead cum death,2020-05-03,2020-05-23
756,,606,point,11,4 wk ahead cum death,2020-05-03,2020-05-30
780,,235,point,10,1 wk ahead cum death,2020-05-03,2020-05-09
804,,307,point,10,2 wk ahead cum death,2020-05-03,2020-05-16
828,,381,point,10,3 wk ahead cum death,2020-05-03,2020-05-23
852,,464,point,10,4 wk ahead cum death,2020-05-03,2020-05-30
876,,1545,point,12,1 wk ahead cum death,2020-05-03,2020-05-09
900,,1722,point,12,2 wk ahead cum death,2020-05-03,2020-05-16
924,,1869,point,12,3 wk ahead cum death,2020-05-03,2020-05-23
948,,1992,point,12,4 wk ahead cum death,2020-05-03,2020-05-30
972,,1394,point,13,1 wk ahead cum death,2020-05-03,2020-05-09
996,,1589,point,13,2 wk ahead cum death,2020-05-03,2020-05-16
1020,,1786,point,13,3 wk ahead cum death,2020-05-03,2020-05-23
1044,,1961,point,13,4 wk ahead cum death,2020-05-03,2020-05-30
1068,,18,point,15,1 wk ahead cum death,2020-05-03,2020-05-09
1092,,19,point,15,2 wk ahead cum death,2020-05-03,2020-05-16
1116,,21,point,15,3 wk ahead cum death,2020-05-03,2020-05-23
1140,,21,point,15,4 wk ahead cum death,2020-05-03,2020-05-30
1164,,280,point,19,1 wk ahead cum death,2020-05-03,2020-05-09
1188,,430,point,19,2 wk ahead cum death,2020-05-03,2020-05-16
1212,,695,point,19,3 wk ahead cum death,2020-05-03,2020-05-23
1236,,1125,point,19,4 wk ahead cum death,2020-05-03,2020-05-30
1260,,70,point,16,1 wk ahead cum death,2020-05-03,2020-05-09
1284,,75,point,16,2 wk ahead cum death,2020-05-03,2020-05-16
1308,,78,point,16,3 wk ahead cum death,2020-05-03,2020-05-23
1332,,79,point,16,4 wk ahead cum death,2020-05-03,2020-05-30
1356,,3173,point,17,1 wk ahead cum death,2020-05-03,2020-05-09
1380,,3822,point,17,2 wk ahead cum death,2020-05-03,2020-05-16
1404,,4446,point,17,3 wk ahead cum death,2020-05-03,2020-05-23
1428,,5078,point,17,4 wk ahead cum death,2020-05-03,2020-05-30
1452,,1479,point,18,1 wk ahead cum death,2020-05-03,2020-05-09
1476,,1879,point,18,2 wk ahead cum death,2020-05-03,2020-05-16
1500,,2327,point,18,3 wk ahead cum death,2020-05-03,2020-05-23
1524,,2964,point,18,4 wk ahead cum death,2020-05-03,2020-05-30
1548,,161,point,20,1 wk ahead cum death,2020-05-03,2020-05-09
1572,,173,point,20,2 wk ahead cum death,2020-05-03,2020-05-16
1596,,181,point,20,3 wk ahead cum death,2020-05-03,2020-05-23
1620,,187,point,20,4 wk ahead cum death,2020-05-03,2020-05-30
1644,,285,point,21,1 wk ahead cum death,2020-05-03,2020-05-09
1668,,315,point,21,2 wk ahead cum death,2020-05-03,2020-05-16
1692,,341,point,21,3 wk ahead cum death,2020-05-03,2020-05-23
1716,,361,point,21,4 wk ahead cum death,2020-05-03,2020-05-30
1740,,2185,point,22,1 wk ahead cum death,2020-05-03,2020-05-09
1764,,2356,point,22,2 wk ahead cum death,2020-05-03,2020-05-16
1788,,2490,point,22,3 wk ahead cum death,2020-05-03,2020-05-23
1812,,2582,point,22,4 wk ahead cum death,2020-05-03,2020-05-30
1836,,5343,point,25,1 wk ahead cum death,2020-05-03,2020-05-09
1860,,6592,point,25,2 wk ahead cum death,2020-05-03,2020-05-16
1884,,7737,point,25,3 wk ahead cum death,2020-05-03,2020-05-23
1908,,8819,point,25,4 wk ahead cum death,2020-05-03,2020-05-30
1932,,1710,point,24,1 wk ahead cum death,2020-05-03,2020-05-09
1956,,2140,point,24,2 wk ahead cum death,2020-05-03,2020-05-16
1980,,2547,point,24,3 wk ahead cum death,2020-05-03,2020-05-23
2004,,2956,point,24,4 wk ahead cum death,2020-05-03,2020-05-30
2028,,68,point,23,1 wk ahead cum death,2020-05-03,2020-05-09
2052,,77,point,23,2 wk ahead cum death,2020-05-03,2020-05-16
2076,,83,point,23,3 wk ahead cum death,2020-05-03,2020-05-23
2100,,89,point,23,4 wk ahead cum death,2020-05-03,2020-05-30
2124,,4579,point,26,1 wk ahead cum death,2020-05-03,2020-05-09
2148,,5063,point,26,2 wk ahead cum death,2020-05-03,2020-05-16
2172,,5444,point,26,3 wk ahead cum death,2020-05-03,2020-05-23
2196,,5768,point,26,4 wk ahead cum death,2020-05-03,2020-05-30
2220,,657,point,27,1 wk ahead cum death,2020-05-03,2020-05-09
2244,,973,point,27,2 wk ahead cum death,2020-05-03,2020-05-16
2268,,1402,point,27,3 wk ahead cum death,2020-05-03,2020-05-23
2292,,1936,point,27,4 wk ahead cum death,2020-05-03,2020-05-30
2316,,436,point,29,1 wk ahead cum death,2020-05-03,2020-05-09
2340,,492,point,29,2 wk ahead cum death,2020-05-03,2020-05-16
2364,,537,point,29,3 wk ahead cum death,2020-05-03,2020-05-23
2388,,579,point,29,4 wk ahead cum death,2020-05-03,2020-05-30
2412,,351,point,28,1 wk ahead cum death,2020-05-03,2020-05-09
2436,,410,point,28,2 wk ahead cum death,2020-05-03,2020-05-16
2460,,469,point,28,3 wk ahead cum death,2020-05-03,2020-05-23
2484,,529,point,28,4 wk ahead cum death,2020-05-03,2020-05-30
2508,,17,point,30,1 wk ahead cum death,2020-05-03,2020-05-09
2532,,19,point,30,2 wk ahead cum death,2020-05-03,2020-05-16
2556,,20,point,30,3 wk ahead cum death,2020-05-03,2020-05-23
2580,,21,point,30,4 wk ahead cum death,2020-05-03,2020-05-30
2604,,570,point,37,1 wk ahead cum death,2020-05-03,2020-05-09
2628,,697,point,37,2 wk ahead cum death,2020-05-03,2020-05-16
2652,,819,point,37,3 wk ahead cum death,2020-05-03,2020-05-23
2676,,923,point,37,4 wk ahead cum death,2020-05-03,2020-05-30
2700,,34,point,38,1 wk ahead cum death,2020-05-03,2020-05-09
2724,,46,point,38,2 wk ahead cum death,2020-05-03,2020-05-16
2748,,61,point,38,3 wk ahead cum death,2020-05-03,2020-05-23
2772,,82,point,38,4 wk ahead cum death,2020-05-03,2020-05-30
2796,,123,point,31,1 wk ahead cum death,2020-05-03,2020-05-09
2820,,187,point,31,2 wk ahead cum death,2020-05-03,2020-05-16
2844,,283,point,31,3 wk ahead cum death,2020-05-03,2020-05-23
2868,,416,point,31,4 wk ahead cum death,2020-05-03,2020-05-30
2892,,103,point,33,1 wk ahead cum death,2020-05-03,2020-05-09
2916,,131,point,33,2 wk ahead cum death,2020-05-03,2020-05-16
2940,,166,point,33,3 wk ahead cum death,2020-05-03,2020-05-23
2964,,217,point,33,4 wk ahead cum death,2020-05-03,2020-05-30
2988,,8951,point,34,1 wk ahead cum death,2020-05-03,2020-05-09
3012,,10041,point,34,2 wk ahead cum death,2020-05-03,2020-05-16
3036,,10923,point,34,3 wk ahead cum death,2020-05-03,2020-05-23
3060,,11639,point,34,4 wk ahead cum death,2020-05-03,2020-05-30
3084,,203,point,35,1 wk ahead cum death,2020-05-03,2020-05-09
3108,,270,point,35,2 wk ahead cum death,2020-05-03,2020-05-16
3132,,349,point,35,3 wk ahead cum death,2020-05-03,2020-05-23
3156,,444,point,35,4 wk ahead cum death,2020-05-03,2020-05-30
3180,,281,point,32,1 wk ahead cum death,2020-05-03,2020-05-09
3204,,309,point,32,2 wk ahead cum death,2020-05-03,2020-05-16
3228,,333,point,32,3 wk ahead cum death,2020-05-03,2020-05-23
3252,,354,point,32,4 wk ahead cum death,2020-05-03,2020-05-30
3276,,25512,point,36,1 wk ahead cum death,2020-05-03,2020-05-09
3300,,26403,point,36,2 wk ahead cum death,2020-05-03,2020-05-16
3324,,26928,point,36,3 wk ahead cum death,2020-05-03,2020-05-23
3348,,27379,point,36,4 wk ahead cum death,2020-05-03,2020-05-30
3372,,1374,point,39,1 wk ahead cum death,2020-05-03,2020-05-09
3396,,1733,point,39,2 wk ahead cum death,2020-05-03,2020-05-16
3420,,2143,point,39,3 wk ahead cum death,2020-05-03,2020-05-23
3444,,2580,point,39,4 wk ahead cum death,2020-05-03,2020-05-30
3468,,264,point,40,1 wk ahead cum death,2020-05-03,2020-05-09
3492,,292,point,40,2 wk ahead cum death,2020-05-03,2020-05-16
3516,,315,point,40,3 wk ahead cum death,2020-05-03,2020-05-23
3540,,337,point,40,4 wk ahead cum death,2020-05-03,2020-05-30
3564,,120,point,41,1 wk ahead cum death,2020-05-03,2020-05-09
3588,,129,point,41,2 wk ahead cum death,2020-05-03,2020-05-16
3612,,136,point,41,3 wk ahead cum death,2020-05-03,2020-05-23
3636,,142,point,41,4 wk ahead cum death,2020-05-03,2020-05-30
3660,,3354,point,42,1 wk ahead cum death,2020-05-03,2020-05-09
3684,,3896,point,42,2 wk ahead cum death,2020-05-03,2020-05-16
