value,target,target_end_date,type,quantile,forecast_date,location
38.570086479187005,1 wk ahead inc case,2020-11-28,point,,2020-11-18,51079
70.39304065704346,2 wk ahead inc case,2020-12-05,point,,2020-11-18,51079
1708.3230743408185,1 wk ahead inc case,2020-11-28,point,,2020-11-18,29077
3001.44384765625,2 wk ahead inc case,2020-12-05,point,,2020-11-18,29077
863.9233322143555,1 wk ahead inc case,2020-11-28,point,,2020-11-18,13151
1670.5535888671875,2 wk ahead inc case,2020-12-05,point,,2020-11-18,13151
1332.3969497680666,1 wk ahead inc case,2020-11-28,point,,2020-11-18,45091
2459.9735794067387,2 wk ahead inc case,2020-12-05,point,,2020-11-18,45091
231.93881225585938,1 wk ahead inc case,2020-11-28,point,,2020-11-18,37093
441.32648849487305,2 wk ahead inc case,2020-12-05,point,,2020-11-18,37093
238.41523361206055,1 wk ahead inc case,2020-11-28,point,,2020-11-18,54047
388.888671875,2 wk ahead inc case,2020-12-05,point,,2020-11-18,54047
209.1784896850586,1 wk ahead inc case,2020-11-28,point,,2020-11-18,39117
374.7846965789797,2 wk ahead inc case,2020-12-05,point,,2020-11-18,39117
62.42372465133667,1 wk ahead inc case,2020-11-28,point,,2020-11-18,41001
109.9724187850952,2 wk ahead inc case,2020-12-05,point,,2020-11-18,41001
113.57564353942871,1 wk ahead inc case,2020-11-28,point,,2020-11-18,31021
198.16543674468983,2 wk ahead inc case,2020-12-05,point,,2020-11-18,31021
1465.6590118408205,1 wk ahead inc case,2020-11-28,point,,2020-11-18,18167
2627.8297119140625,2 wk ahead inc case,2020-12-05,point,,2020-11-18,18167
41.719120979309075,1 wk ahead inc case,2020-11-28,point,,2020-11-18,6063
72.87317180633545,2 wk ahead inc case,2020-12-05,point,,2020-11-18,6063
9.478994309902193,1 wk ahead inc case,2020-11-28,point,,2020-11-18,31115
16.31775826215743,2 wk ahead inc case,2020-12-05,point,,2020-11-18,31115
25.136709690093994,1 wk ahead inc case,2020-11-28,point,,2020-11-18,51113
45.458550453186035,2 wk ahead inc case,2020-12-05,point,,2020-11-18,51113
78.22828006744385,1 wk ahead inc case,2020-11-28,point,,2020-11-18,29033
140.69456672668457,2 wk ahead inc case,2020-12-05,point,,2020-11-18,29033
31.497071743011475,1 wk ahead inc case,2020-11-28,point,,2020-11-18,13165
60.34356784820568,2 wk ahead inc case,2020-12-05,point,,2020-11-18,13165
226.25508499145485,1 wk ahead inc case,2020-11-28,point,,2020-11-18,19095
407.0560321807859,2 wk ahead inc case,2020-12-05,point,,2020-11-18,19095
147.4839057922362,1 wk ahead inc case,2020-11-28,point,,2020-11-18,17079
261.0027408599853,2 wk ahead inc case,2020-12-05,point,,2020-11-18,17079
82.5275888442992,1 wk ahead inc case,2020-11-28,point,,2020-11-18,51690
150.05548477172854,2 wk ahead inc case,2020-12-05,point,,2020-11-18,51690
81.5064835548401,1 wk ahead inc case,2020-11-28,point,,2020-11-18,38019
142.76259374618533,2 wk ahead inc case,2020-12-05,point,,2020-11-18,38019
244.41444778442383,1 wk ahead inc case,2020-11-28,point,,2020-11-18,47013
454.4837665557861,2 wk ahead inc case,2020-12-05,point,,2020-11-18,47013
73.34172058105469,1 wk ahead inc case,2020-11-28,point,,2020-11-18,28135
148.331787109375,2 wk ahead inc case,2020-12-05,point,,2020-11-18,28135
109.05308151245129,1 wk ahead inc case,2020-11-28,point,,2020-11-18,42103
201.8805570602417,2 wk ahead inc case,2020-12-05,point,,2020-11-18,42103
67.6588335037232,1 wk ahead inc case,2020-11-28,point,,2020-11-18,20181
125.9249391555786,2 wk ahead inc case,2020-12-05,point,,2020-11-18,20181
61.079878330230656,1 wk ahead inc case,2020-11-28,point,,2020-11-18,29087
107.70563697814936,2 wk ahead inc case,2020-12-05,point,,2020-11-18,29087
509.51276779174805,1 wk ahead inc case,2020-11-28,point,,2020-11-18,17117
889.8634719848637,2 wk ahead inc case,2020-12-05,point,,2020-11-18,17117
41.407641887664795,1 wk ahead inc case,2020-11-28,point,,2020-11-18,31017
73.56938171386719,2 wk ahead inc case,2020-12-05,point,,2020-11-18,31017
3024.739227294922,1 wk ahead inc case,2020-11-28,point,,2020-11-18,17119
5448.77099609375,2 wk ahead inc case,2020-12-05,point,,2020-11-18,17119
128.2890100479126,1 wk ahead inc case,2020-11-28,point,,2020-11-18,31099
226.43771171569824,2 wk ahead inc case,2020-12-05,point,,2020-11-18,31099
579.9521484375,1 wk ahead inc case,2020-11-28,point,,2020-11-18,54003
1036.4980087280271,2 wk ahead inc case,2020-12-05,point,,2020-11-18,54003
424.2177429199219,1 wk ahead inc case,2020-11-28,point,,2020-11-18,5093
803.7673377990723,2 wk ahead inc case,2020-12-05,point,,2020-11-18,5093
29.76758360862732,1 wk ahead inc case,2020-11-28,point,,2020-11-18,21181
55.5947585105896,2 wk ahead inc case,2020-12-05,point,,2020-11-18,21181
111.4804754257202,1 wk ahead inc case,2020-11-28,point,,2020-11-18,51095
214.3983774185181,2 wk ahead inc case,2020-12-05,point,,2020-11-18,51095
132.58516407012942,1 wk ahead inc case,2020-11-28,point,,2020-11-18,40151
228.09394073486328,2 wk ahead inc case,2020-12-05,point,,2020-11-18,40151
1152.5454940795896,1 wk ahead inc case,2020-11-28,point,,2020-11-18,39155
2038.364974975586,2 wk ahead inc case,2020-12-05,point,,2020-11-18,39155
