forecast_date,target,location,target_end_date,type,quantile,value
2020-08-10,3 wk ahead cum death,24,2020-08-29,point,,3878.9798848585497
2020-08-10,3 wk ahead cum death,18,2020-08-29,point,,3243.9584774020195
2020-08-10,3 wk ahead cum death,51,2020-08-29,point,,2819.16199080764
2020-08-10,3 wk ahead cum death,37,2020-08-29,point,,3007.32256498721
2020-08-10,3 wk ahead cum death,45,2020-08-29,point,,3684.75012545365
2020-08-10,3 wk ahead cum death,28,2020-08-29,point,,2708.21811565134
2020-08-10,3 wk ahead cum death,08,2020-08-29,point,,2025.0958718252696
2020-08-10,3 wk ahead cum death,01,2020-08-29,point,,2354.19985639713
2020-08-10,3 wk ahead cum death,27,2020-08-29,point,,1841.40913670228
2020-08-10,3 wk ahead cum death,53,2020-08-29,point,,1936.8810218013105
2020-08-10,3 wk ahead cum death,29,2020-08-29,point,,1451.95631586389
2020-08-10,3 wk ahead cum death,47,2020-08-29,point,,1639.4039619114
2020-08-10,3 wk ahead cum death,44,2020-08-29,point,,1020.36877584776
2020-08-10,3 wk ahead cum death,55,2020-08-29,point,,1226.74600280388
2020-08-10,3 wk ahead cum death,32,2020-08-29,point,,1498.34116077528
2020-08-10,3 wk ahead cum death,19,2020-08-29,point,,1103.875742874
2020-08-10,3 wk ahead cum death,40,2020-08-29,point,,786.8456222596519
2020-08-10,3 wk ahead cum death,21,2020-08-29,point,,903.0148743366568
2020-08-10,4 wk ahead cum death,US,2020-09-05,point,,207107.371421275
2020-08-10,4 wk ahead cum death,36,2020-09-05,point,,32999.5993413955
2020-08-10,4 wk ahead cum death,34,2020-09-05,point,,16161.031215056999
2020-08-10,4 wk ahead cum death,06,2020-09-05,point,,14869.7808073454
2020-08-10,4 wk ahead cum death,48,2020-09-05,point,,19858.552262259498
2020-08-10,4 wk ahead cum death,25,2020-09-05,point,,9204.93858554802
2020-08-10,4 wk ahead cum death,12,2020-09-05,point,,15567.1032895222
2020-08-10,4 wk ahead cum death,17,2020-09-05,point,,8280.95518164268
2020-08-10,4 wk ahead cum death,42,2020-09-05,point,,7830.62629609604
2020-08-10,4 wk ahead cum death,26,2020-09-05,point,,6639.1154130855
2020-08-10,4 wk ahead cum death,09,2020-09-05,point,,4617.51754678539
2020-08-10,4 wk ahead cum death,22,2020-09-05,point,,5635.272669540191
2020-08-10,4 wk ahead cum death,13,2020-09-05,point,,6246.38420656677
2020-08-10,4 wk ahead cum death,04,2020-09-05,point,,6935.11788949253
2020-08-10,4 wk ahead cum death,39,2020-09-05,point,,4739.22270377685
2020-08-10,4 wk ahead cum death,24,2020-09-05,point,,4007.05886842032
2020-08-10,4 wk ahead cum death,18,2020-09-05,point,,3318.79671724848
2020-08-10,4 wk ahead cum death,51,2020-09-05,point,,3062.80382853843
2020-08-10,4 wk ahead cum death,37,2020-09-05,point,,3391.86215963526
2020-08-10,4 wk ahead cum death,45,2020-09-05,point,,4619.565086880821
2020-08-10,4 wk ahead cum death,28,2020-09-05,point,,3108.21581106793
2020-08-10,4 wk ahead cum death,08,2020-09-05,point,,2106.60570928675
2020-08-10,4 wk ahead cum death,01,2020-09-05,point,,2606.29985076523
2020-08-10,4 wk ahead cum death,27,2020-09-05,point,,1910.2934266692496
2020-08-10,4 wk ahead cum death,53,2020-09-05,point,,2030.23979933163
2020-08-10,4 wk ahead cum death,29,2020-09-05,point,,1525.5693075648
2020-08-10,4 wk ahead cum death,47,2020-09-05,point,,1821.03490072076
2020-08-10,4 wk ahead cum death,44,2020-09-05,point,,1021.1349750910001
2020-08-10,4 wk ahead cum death,55,2020-09-05,point,,1343.68801118827
2020-08-10,4 wk ahead cum death,32,2020-09-05,point,,1820.917016974789
2020-08-10,4 wk ahead cum death,19,2020-09-05,point,,1182.38305099123
2020-08-10,4 wk ahead cum death,40,2020-09-05,point,,864.099063382567
2020-08-10,4 wk ahead cum death,21,2020-09-05,point,,951.8963635483008
2020-08-16,1 wk ahead inc death,US,2020-08-22,point,,8400.28621226194
2020-08-16,1 wk ahead inc death,36,2020-08-22,point,,54.270822683612785
2020-08-16,1 wk ahead inc death,34,2020-08-22,point,,43.688244597208296
2020-08-16,1 wk ahead inc death,06,2020-08-22,point,,1084.44479167764
2020-08-16,1 wk ahead inc death,48,2020-08-22,point,,1688.3031759077496
2020-08-16,1 wk ahead inc death,12,2020-08-22,point,,1390.1876278467098
2020-08-16,1 wk ahead inc death,25,2020-08-22,point,,108.29866925578101
2020-08-16,1 wk ahead inc death,17,2020-08-22,point,,115.840526547561
2020-08-16,1 wk ahead inc death,42,2020-08-22,point,,88.5699877011016
2020-08-16,1 wk ahead inc death,26,2020-08-22,point,,54.795681439211705
2020-08-16,1 wk ahead inc death,13,2020-08-22,point,,446.822048394374
2020-08-16,1 wk ahead inc death,04,2020-08-22,point,,404.99974459605903
2020-08-16,1 wk ahead inc death,09,2020-08-22,point,,12.348203023610802
2020-08-16,1 wk ahead inc death,22,2020-08-22,point,,289.33067545577006
2020-08-16,1 wk ahead inc death,39,2020-08-22,point,,176.25587338848203
2020-08-16,1 wk ahead inc death,24,2020-08-22,point,,75.8845275828173
