location,target,type,quantile,forecast_date,target_end_date,value
09,4 wk ahead cum death,point,,2020-06-29,2020-07-25,4410
09,4 wk ahead inc death,point,,2020-06-29,2020-07-25,15
39,7 wk ahead cum death,point,,2020-06-29,2020-08-15,3413
39,7 wk ahead inc death,point,,2020-06-29,2020-08-15,50
48,3 wk ahead cum death,point,,2020-06-29,2020-07-18,2911
48,3 wk ahead inc death,point,,2020-06-29,2020-07-18,149
33,1 wk ahead cum death,point,,2020-06-29,2020-07-04,395
33,1 wk ahead inc death,point,,2020-06-29,2020-07-04,29
34,1 wk ahead cum death,point,,2020-06-29,2020-07-04,15136
34,1 wk ahead inc death,point,,2020-06-29,2020-07-04,197
37,6 wk ahead cum death,point,,2020-06-29,2020-08-08,1729
37,6 wk ahead inc death,point,,2020-06-29,2020-08-08,38
21,1 wk ahead cum death,point,,2020-06-29,2020-07-04,579
21,1 wk ahead inc death,point,,2020-06-29,2020-07-04,21
28,5 wk ahead cum death,point,,2020-06-29,2020-08-01,1339
28,5 wk ahead inc death,point,,2020-06-29,2020-08-01,53
30,5 wk ahead cum death,point,,2020-06-29,2020-08-01,22
30,5 wk ahead inc death,point,,2020-06-29,2020-08-01,0
42,1 wk ahead cum death,point,,2020-06-29,2020-07-04,6787
42,1 wk ahead inc death,point,,2020-06-29,2020-07-04,185
55,3 wk ahead cum death,point,,2020-06-29,2020-07-18,877
55,3 wk ahead inc death,point,,2020-06-29,2020-07-18,28
32,5 wk ahead cum death,point,,2020-06-29,2020-08-01,548
32,5 wk ahead inc death,point,,2020-06-29,2020-08-01,8
US,6 wk ahead cum death,point,,2020-06-29,2020-08-08,140985
US,6 wk ahead inc death,point,,2020-06-29,2020-08-08,2021
78,7 wk ahead cum death,point,,2020-06-29,2020-08-15,6
78,7 wk ahead inc death,point,,2020-06-29,2020-08-15,0
05,5 wk ahead cum death,point,,2020-06-29,2020-08-01,495
05,5 wk ahead inc death,point,,2020-06-29,2020-08-01,54
34,7 wk ahead cum death,point,,2020-06-29,2020-08-15,15610
34,7 wk ahead inc death,point,,2020-06-29,2020-08-15,35
72,2 wk ahead cum death,point,,2020-06-29,2020-07-11,155
72,2 wk ahead inc death,point,,2020-06-29,2020-07-11,4
19,2 wk ahead cum death,point,,2020-06-29,2020-07-11,793
19,2 wk ahead inc death,point,,2020-06-29,2020-07-11,43
20,5 wk ahead cum death,point,,2020-06-29,2020-08-01,284
20,5 wk ahead inc death,point,,2020-06-29,2020-08-01,4
15,1 wk ahead cum death,point,,2020-06-29,2020-07-04,18
