location,forecast_date,quantile,value,target,target_end_date,type
16,2020-07-27,,28.0,2 wk ahead inc death,2020-08-08,point
17,2020-07-27,,113.0,2 wk ahead inc death,2020-08-08,point
18,2020-07-27,,80.0,2 wk ahead inc death,2020-08-08,point
19,2020-07-27,,41.0,2 wk ahead inc death,2020-08-08,point
20,2020-07-27,,26.0,2 wk ahead inc death,2020-08-08,point
21,2020-07-27,,43.0,2 wk ahead inc death,2020-08-08,point
22,2020-07-27,,202.0,2 wk ahead inc death,2020-08-08,point
23,2020-07-27,,3.0,2 wk ahead inc death,2020-08-08,point
24,2020-07-27,,71.0,2 wk ahead inc death,2020-08-08,point
25,2020-07-27,,71.0,2 wk ahead inc death,2020-08-08,point
26,2020-07-27,,47.0,2 wk ahead inc death,2020-08-08,point
27,2020-07-27,,45.0,2 wk ahead inc death,2020-08-08,point
28,2020-07-27,,133.0,2 wk ahead inc death,2020-08-08,point
29,2020-07-27,,80.0,2 wk ahead inc death,2020-08-08,point
30,2020-07-27,,10.0,2 wk ahead inc death,2020-08-08,point
31,2020-07-27,,19.0,2 wk ahead inc death,2020-08-08,point
32,2020-07-27,,74.0,2 wk ahead inc death,2020-08-08,point
33,2020-07-27,,6.0,2 wk ahead inc death,2020-08-08,point
34,2020-07-27,,70.0,2 wk ahead inc death,2020-08-08,point
35,2020-07-27,,28.0,2 wk ahead inc death,2020-08-08,point
36,2020-07-27,,115.0,2 wk ahead inc death,2020-08-08,point
37,2020-07-27,,170.0,2 wk ahead inc death,2020-08-08,point
38,2020-07-27,,8.0,2 wk ahead inc death,2020-08-08,point
39,2020-07-27,,153.0,2 wk ahead inc death,2020-08-08,point
40,2020-07-27,,44.0,2 wk ahead inc death,2020-08-08,point
41,2020-07-27,,23.0,2 wk ahead inc death,2020-08-08,point
42,2020-07-27,,102.0,2 wk ahead inc death,2020-08-08,point
44,2020-07-27,,10.0,2 wk ahead inc death,2020-08-08,point
45,2020-07-27,,259.0,2 wk ahead inc death,2020-08-08,point
46,2020-07-27,,7.0,2 wk ahead inc death,2020-08-08,point
47,2020-07-27,,133.0,2 wk ahead inc death,2020-08-08,point
48,2020-07-27,,983.0,2 wk ahead inc death,2020-08-08,point
49,2020-07-27,,30.0,2 wk ahead inc death,2020-08-08,point
50,2020-07-27,,0.0,2 wk ahead inc death,2020-08-08,point
51,2020-07-27,,71.0,2 wk ahead inc death,2020-08-08,point
53,2020-07-27,,59.0,2 wk ahead inc death,2020-08-08,point
54,2020-07-27,,6.0,2 wk ahead inc death,2020-08-08,point
55,2020-07-27,,49.0,2 wk ahead inc death,2020-08-08,point
56,2020-07-27,,2.0,2 wk ahead inc death,2020-08-08,point
1,2020-07-27,,155.0,3 wk ahead inc death,2020-08-15,point
2,2020-07-27,,4.0,3 wk ahead inc death,2020-08-15,point
4,2020-07-27,,406.0,3 wk ahead inc death,2020-08-15,point
5,2020-07-27,,60.0,3 wk ahead inc death,2020-08-15,point
6,2020-07-27,,823.0,3 wk ahead inc death,2020-08-15,point
8,2020-07-27,,38.0,3 wk ahead inc death,2020-08-15,point
9,2020-07-27,,17.0,3 wk ahead inc death,2020-08-15,point
10,2020-07-27,,10.0,3 wk ahead inc death,2020-08-15,point
11,2020-07-27,,10.0,3 wk ahead inc death,2020-08-15,point
12,2020-07-27,,974.0,3 wk ahead inc death,2020-08-15,point
13,2020-07-27,,250.0,3 wk ahead inc death,2020-08-15,point
15,2020-07-27,,3.0,3 wk ahead inc death,2020-08-15,point
16,2020-07-27,,31.0,3 wk ahead inc death,2020-08-15,point
17,2020-07-27,,115.0,3 wk ahead inc death,2020-08-15,point
18,2020-07-27,,58.0,3 wk ahead inc death,2020-08-15,point
19,2020-07-27,,51.0,3 wk ahead inc death,2020-08-15,point
20,2020-07-27,,31.0,3 wk ahead inc death,2020-08-15,point
21,2020-07-27,,45.0,3 wk ahead inc death,2020-08-15,point
22,2020-07-27,,163.0,3 wk ahead inc death,2020-08-15,point
