location,quantile,target,value,type,forecast_date,target_end_date
47,,2 wk ahead inc case,16347.235500000004,point,2020-08-31,2020-09-12
47,,2 wk ahead cum death,1835.2985000000006,point,2020-08-31,2020-09-12
48,,2 wk ahead inc death,401.55300000000017,point,2020-08-31,2020-09-12
48,,2 wk ahead inc case,28823.883999999984,point,2020-08-31,2020-09-12
48,,2 wk ahead cum death,13417.975000000002,point,2020-08-31,2020-09-12
49,,2 wk ahead inc death,13.2365,point,2020-08-31,2020-09-12
49,,2 wk ahead inc case,2450.0225,point,2020-08-31,2020-09-12
49,,2 wk ahead cum death,360.43449999999984,point,2020-08-31,2020-09-12
50,,2 wk ahead inc death,0.9955000000000004,point,2020-08-31,2020-09-12
50,,2 wk ahead inc case,75.17,point,2020-08-31,2020-09-12
50,,2 wk ahead cum death,59.8235,point,2020-08-31,2020-09-12
51,,2 wk ahead inc death,86.51099999999997,point,2020-08-31,2020-09-12
51,,2 wk ahead inc case,6229.923000000002,point,2020-08-31,2020-09-12
51,,2 wk ahead cum death,2724.1639999999993,point,2020-08-31,2020-09-12
53,,2 wk ahead inc death,53.21250000000001,point,2020-08-31,2020-09-12
53,,2 wk ahead inc case,2794.297500000001,point,2020-08-31,2020-09-12
53,,2 wk ahead cum death,2016.1045,point,2020-08-31,2020-09-12
54,,2 wk ahead inc death,9.098499999999996,point,2020-08-31,2020-09-12
54,,2 wk ahead inc case,1384.223,point,2020-08-31,2020-09-12
54,,2 wk ahead cum death,217.105,point,2020-08-31,2020-09-12
55,,2 wk ahead inc death,47.19199999999999,point,2020-08-31,2020-09-12
55,,2 wk ahead inc case,5840.3665,point,2020-08-31,2020-09-12
55,,2 wk ahead cum death,1203.396,point,2020-08-31,2020-09-12
56,,2 wk ahead inc death,2.4045,point,2020-08-31,2020-09-12
56,,2 wk ahead inc case,734.9639999999998,point,2020-08-31,2020-09-12
56,,2 wk ahead cum death,40.99199999999999,point,2020-08-31,2020-09-12
60,,2 wk ahead inc death,0.0,point,2020-08-31,2020-09-12
60,,2 wk ahead inc case,0.0,point,2020-08-31,2020-09-12
60,,2 wk ahead cum death,0.0,point,2020-08-31,2020-09-12
66,,2 wk ahead inc death,6.2535,point,2020-08-31,2020-09-12
66,,2 wk ahead inc case,721.1399999999999,point,2020-08-31,2020-09-12
66,,2 wk ahead cum death,21.78,point,2020-08-31,2020-09-12
