,location,target,type,quantile,forecast_date,target_end_date,value
7247,8,3 wk ahead cum death,point,,2020-06-18,2020-07-11,1773.9899
7248,9,3 wk ahead cum death,point,,2020-06-18,2020-07-11,4485.708
7249,11,3 wk ahead cum death,point,,2020-06-18,2020-07-11,547.79297
7250,10,3 wk ahead cum death,point,,2020-06-18,2020-07-11,505.76288
7251,12,3 wk ahead cum death,point,,2020-06-18,2020-07-11,4569.7666
7252,13,3 wk ahead cum death,point,,2020-06-18,2020-07-11,3101.516
7253,15,3 wk ahead cum death,point,,2020-06-18,2020-07-11,18.50022
7254,19,3 wk ahead cum death,point,,2020-06-18,2020-07-11,876.3322
7255,16,3 wk ahead cum death,point,,2020-06-18,2020-07-11,106.922874
7256,17,3 wk ahead cum death,point,,2020-06-18,2020-07-11,7263.6274
7257,18,3 wk ahead cum death,point,,2020-06-18,2020-07-11,2864.9602
7258,20,3 wk ahead cum death,point,,2020-06-18,2020-07-11,303.1715
7259,21,3 wk ahead cum death,point,,2020-06-18,2020-07-11,864.7134
7260,22,3 wk ahead cum death,point,,2020-06-18,2020-07-11,3362.1777
7261,25,3 wk ahead cum death,point,,2020-06-18,2020-07-11,8273.37
7262,24,3 wk ahead cum death,point,,2020-06-18,2020-07-11,3742.367
7263,23,3 wk ahead cum death,point,,2020-06-18,2020-07-11,141.9324
7264,26,3 wk ahead cum death,point,,2020-06-18,2020-07-11,7061.554
7265,27,3 wk ahead cum death,point,,2020-06-18,2020-07-11,1819.7769
7266,29,3 wk ahead cum death,point,,2020-06-18,2020-07-11,1399.7679999999998
7267,28,3 wk ahead cum death,point,,2020-06-18,2020-07-11,1412.3234
7268,30,3 wk ahead cum death,point,,2020-06-18,2020-07-11,22.990116
7269,37,3 wk ahead cum death,point,,2020-06-18,2020-07-11,1547.3453
7270,38,3 wk ahead cum death,point,,2020-06-18,2020-07-11,104.13003
7271,31,3 wk ahead cum death,point,,2020-06-18,2020-07-11,332.49664
7272,33,3 wk ahead cum death,point,,2020-06-18,2020-07-11,490.28278
7273,34,3 wk ahead cum death,point,,2020-06-18,2020-07-11,13319.44
7274,35,3 wk ahead cum death,point,,2020-06-18,2020-07-11,569.9556
7275,32,3 wk ahead cum death,point,,2020-06-18,2020-07-11,579.6693
7276,36,3 wk ahead cum death,point,,2020-06-18,2020-07-11,31006.988
7277,39,3 wk ahead cum death,point,,2020-06-18,2020-07-11,3514.8542
7278,40,3 wk ahead cum death,point,,2020-06-18,2020-07-11,477.34406
7279,41,3 wk ahead cum death,point,,2020-06-18,2020-07-11,226.28546
7280,42,3 wk ahead cum death,point,,2020-06-18,2020-07-11,6955.107
7281,44,3 wk ahead cum death,point,,2020-06-18,2020-07-11,966.3846
