,location,forecast_date,target_end_date,value,target,type,quantile
29486,06007,2020-07-12,2020-08-01,109.53647041385994,3 wk ahead inc case,point,
29487,06007,2020-07-12,2020-08-08,123.69639606903696,4 wk ahead inc case,point,
29488,06013,2020-07-12,2020-07-18,927.7461097233004,1 wk ahead inc case,point,
29489,06013,2020-07-12,2020-07-25,1125.5589478044133,2 wk ahead inc case,point,
29490,06013,2020-07-12,2020-08-01,1268.2860104938334,3 wk ahead inc case,point,
29491,06013,2020-07-12,2020-08-08,1326.9431447944999,4 wk ahead inc case,point,
29492,06017,2020-07-12,2020-07-18,58.94952117232704,1 wk ahead inc case,point,
29493,06017,2020-07-12,2020-07-25,70.94319934714724,2 wk ahead inc case,point,
29494,06017,2020-07-12,2020-08-01,80.23959736079594,3 wk ahead inc case,point,
29495,06017,2020-07-12,2020-08-08,88.27903010526819,4 wk ahead inc case,point,
29496,06019,2020-07-12,2020-07-18,2160.184513935499,1 wk ahead inc case,point,
29497,06019,2020-07-12,2020-07-25,2175.9361116846435,2 wk ahead inc case,point,
29498,06019,2020-07-12,2020-08-01,2278.4864609615634,3 wk ahead inc case,point,
29499,06019,2020-07-12,2020-08-08,2367.868833144424,4 wk ahead inc case,point,
29500,06023,2020-07-12,2020-07-18,16.038674137365245,1 wk ahead inc case,point,
29501,06023,2020-07-12,2020-07-25,22.811755469623822,2 wk ahead inc case,point,
29502,06023,2020-07-12,2020-08-01,27.34568984096701,3 wk ahead inc case,point,
29503,06023,2020-07-12,2020-08-08,33.7953620139545,4 wk ahead inc case,point,
29504,06025,2020-07-12,2020-07-18,598.0675306836878,1 wk ahead inc case,point,
29505,06025,2020-07-12,2020-07-25,668.2260225119073,2 wk ahead inc case,point,
29506,06025,2020-07-12,2020-08-01,661.468467982136,3 wk ahead inc case,point,
29507,06025,2020-07-12,2020-08-08,657.7372555622264,4 wk ahead inc case,point,
29508,06029,2020-07-12,2020-07-18,1340.8469920914329,1 wk ahead inc case,point,
29509,06029,2020-07-12,2020-07-25,1537.5397389106,2 wk ahead inc case,point,
29510,06029,2020-07-12,2020-08-01,1695.7524835181619,3 wk ahead inc case,point,
29511,06029,2020-07-12,2020-08-08,1752.8547163782694,4 wk ahead inc case,point,
29512,06031,2020-07-12,2020-07-18,229.6079101097811,1 wk ahead inc case,point,
29513,06031,2020-07-12,2020-07-25,259.2144833170488,2 wk ahead inc case,point,
29514,06031,2020-07-12,2020-08-01,274.882485031585,3 wk ahead inc case,point,
29515,06031,2020-07-12,2020-08-08,276.45725362156736,4 wk ahead inc case,point,
29516,06033,2020-07-12,2020-07-18,15.126457867448288,1 wk ahead inc case,point,
29517,06033,2020-07-12,2020-07-25,20.764769813528844,2 wk ahead inc case,point,
29518,06033,2020-07-12,2020-08-01,23.615283175362354,3 wk ahead inc case,point,
29519,06033,2020-07-12,2020-08-08,26.182677216363956,4 wk ahead inc case,point,
29520,06037,2020-07-12,2020-07-18,20758.956578408666,1 wk ahead inc case,point,
29521,06037,2020-07-12,2020-07-25,22187.21855670092,2 wk ahead inc case,point,
29522,06037,2020-07-12,2020-08-01,22869.426115039263,3 wk ahead inc case,point,
29523,06037,2020-07-12,2020-08-08,23634.72791589475,4 wk ahead inc case,point,
29524,06039,2020-07-12,2020-07-18,162.09323450213753,1 wk ahead inc case,point,
29525,06039,2020-07-12,2020-07-25,193.669528099158,2 wk ahead inc case,point,
29526,06039,2020-07-12,2020-08-01,205.79680594340687,3 wk ahead inc case,point,
29527,06039,2020-07-12,2020-08-08,222.58526577951076,4 wk ahead inc case,point,
29528,06041,2020-07-12,2020-07-18,517.4204982673775,1 wk ahead inc case,point,
29529,06041,2020-07-12,2020-07-25,582.4438808861627,2 wk ahead inc case,point,
29530,06041,2020-07-12,2020-08-01,610.9328124069245,3 wk ahead inc case,point,
29531,06041,2020-07-12,2020-08-08,613.522033949439,4 wk ahead inc case,point,
29532,06045,2020-07-12,2020-07-18,25.145695340165428,1 wk ahead inc case,point,
29533,06045,2020-07-12,2020-07-25,36.98868233856531,2 wk ahead inc case,point,
