,forecast_date,location,target,type,quantile,target_end_date,value
5414,2020-07-27,09,2 wk ahead inc case,point,,2020-08-08,362.6208
5415,2020-07-27,10,2 wk ahead inc case,point,,2020-08-08,945.0784
5416,2020-07-27,11,2 wk ahead inc case,point,,2020-08-08,425.2532
5417,2020-07-27,12,2 wk ahead inc case,point,,2020-08-08,50313.7052
5418,2020-07-27,13,2 wk ahead inc case,point,,2020-08-08,17707.8018
5419,2020-07-27,15,2 wk ahead inc case,point,,2020-08-08,182.372
5420,2020-07-27,16,2 wk ahead inc case,point,,2020-08-08,6205.222
5421,2020-07-27,17,2 wk ahead inc case,point,,2020-08-08,7092.2014
5422,2020-07-27,18,2 wk ahead inc case,point,,2020-08-08,4185.167
5423,2020-07-27,19,2 wk ahead inc case,point,,2020-08-08,3648.6
5424,2020-07-27,20,2 wk ahead inc case,point,,2020-08-08,3448.329
5425,2020-07-27,21,2 wk ahead inc case,point,,2020-08-08,4838.9684
5426,2020-07-27,22,2 wk ahead inc case,point,,2020-08-08,9428.9098
5427,2020-07-27,23,2 wk ahead inc case,point,,2020-08-08,142.2428
5428,2020-07-27,24,2 wk ahead inc case,point,,2020-08-08,4104.6554
5429,2020-07-27,25,2 wk ahead inc case,point,,2020-08-08,1735.5012
5430,2020-07-27,26,2 wk ahead inc case,point,,2020-08-08,4057.1336
5431,2020-07-27,27,2 wk ahead inc case,point,,2020-08-08,3854.0526
5432,2020-07-27,28,2 wk ahead inc case,point,,2020-08-08,6208.1424
5433,2020-07-27,29,2 wk ahead inc case,point,,2020-08-08,5123.0366
5434,2020-07-27,30,2 wk ahead inc case,point,,2020-08-08,592.615
5435,2020-07-27,31,2 wk ahead inc case,point,,2020-08-08,1779.4088
5436,2020-07-27,32,2 wk ahead inc case,point,,2020-08-08,5779.5252
5437,2020-07-27,33,2 wk ahead inc case,point,,2020-08-08,189.7272
5438,2020-07-27,34,2 wk ahead inc case,point,,2020-08-08,1678.58
5439,2020-07-27,35,2 wk ahead inc case,point,,2020-08-08,1960.4516
5440,2020-07-27,36,2 wk ahead inc case,point,,2020-08-08,3105.2478
5441,2020-07-27,37,2 wk ahead inc case,point,,2020-08-08,9153.0782
5442,2020-07-27,38,2 wk ahead inc case,point,,2020-08-08,753.5492
5443,2020-07-27,39,2 wk ahead inc case,point,,2020-08-08,7578.4288
5444,2020-07-27,40,2 wk ahead inc case,point,,2020-08-08,4639.2298
