,location,target,type,quantile,forecast_date,target_end_date,value
7388,42,1 wk ahead cum death,point,,2020-06-21,2020-06-27,6582.792320000001
7389,42,2 wk ahead cum death,point,,2020-06-21,2020-07-04,6723.559869
7390,42,3 wk ahead cum death,point,,2020-06-21,2020-07-11,6834.638590000001
7391,42,4 wk ahead cum death,point,,2020-06-21,2020-07-18,6922.151534999999
7484,42,1 wk ahead inc death,point,,2020-06-21,2020-06-27,163.79232009999996
7485,42,2 wk ahead inc death,point,,2020-06-21,2020-07-04,140.7675489
7486,42,3 wk ahead inc death,point,,2020-06-21,2020-07-11,111.07872079999999
7487,42,4 wk ahead inc death,point,,2020-06-21,2020-07-18,87.51294562
7580,44,1 wk ahead cum death,point,,2020-06-21,2020-06-27,940.8285381000001
7581,44,2 wk ahead cum death,point,,2020-06-21,2020-07-04,977.8974222999999
7582,44,3 wk ahead cum death,point,,2020-06-21,2020-07-11,1004.996403
7583,44,4 wk ahead cum death,point,,2020-06-21,2020-07-18,1024.053619
7676,44,1 wk ahead inc death,point,,2020-06-21,2020-06-27,46.82853812
7677,44,2 wk ahead inc death,point,,2020-06-21,2020-07-04,37.06888415
7678,44,3 wk ahead inc death,point,,2020-06-21,2020-07-11,27.09898078
7679,44,4 wk ahead inc death,point,,2020-06-21,2020-07-18,19.05721625
7772,45,1 wk ahead cum death,point,,2020-06-21,2020-06-27,705.1110974999997
7773,45,2 wk ahead cum death,point,,2020-06-21,2020-07-04,775.9042873999997
7774,45,3 wk ahead cum death,point,,2020-06-21,2020-07-11,855.7194033
7775,45,4 wk ahead cum death,point,,2020-06-21,2020-07-18,945.6282675000001
7868,45,1 wk ahead inc death,point,,2020-06-21,2020-06-27,61.11109748
7869,45,2 wk ahead inc death,point,,2020-06-21,2020-07-04,70.79318990000002
7870,45,3 wk ahead inc death,point,,2020-06-21,2020-07-11,79.81511588
7871,45,4 wk ahead inc death,point,,2020-06-21,2020-07-18,89.90886428
7964,46,1 wk ahead cum death,point,,2020-06-21,2020-06-27,86.75313349999998
7965,46,2 wk ahead cum death,point,,2020-06-21,2020-07-04,93.08373715
7966,46,3 wk ahead cum death,point,,2020-06-21,2020-07-11,98.85860283
7967,46,4 wk ahead cum death,point,,2020-06-21,2020-07-18,103.9099528
8060,46,1 wk ahead inc death,point,,2020-06-21,2020-06-27,5.7531334979999995
8061,46,2 wk ahead inc death,point,,2020-06-21,2020-07-04,6.3306036510000006
8062,46,3 wk ahead inc death,point,,2020-06-21,2020-07-11,5.7748656789999995
8063,46,4 wk ahead inc death,point,,2020-06-21,2020-07-18,5.05135
8156,47,1 wk ahead cum death,point,,2020-06-21,2020-06-27,586.9285308999998
8157,47,2 wk ahead cum death,point,,2020-06-21,2020-07-04,673.2500497000002
8158,47,3 wk ahead cum death,point,,2020-06-21,2020-07-11,779.0304036
8159,47,4 wk ahead cum death,point,,2020-06-21,2020-07-18,907.989168
8252,47,1 wk ahead inc death,point,,2020-06-21,2020-06-27,62.92853095
