forecast_date,target,target_end_date,quantile,type,location,value
2021-01-04,3 wk ahead inc case,2021-01-23,,point,4007,186.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,4007,141.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,4009,168.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,4009,165.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,4009,154.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,4009,115.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,4011,29.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,4011,30.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,4011,26.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,4011,18.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,4012,150.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,4012,128.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,4012,119.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,4012,115.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,4013,20876.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,4013,17946.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,4013,14013.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,4013,9581.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,4015,1180.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,4015,904.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,4015,656.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,4015,447.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,4017,619.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,4017,562.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,4017,474.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,4017,396.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,4019,4854.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,4019,3820.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,4019,2574.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,4019,1589.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,4021,2104.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,4021,1846.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,4021,1501.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,4021,1028.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,4023,327.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,4023,282.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,4023,228.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,4023,154.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,4025,957.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,4025,758.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,4025,566.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,4025,406.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,4027,2135.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,4027,2048.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,4027,1773.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,4027,1331.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,5001,67.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,5001,66.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,5001,65.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,5001,60.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,5003,59.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,5003,55.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,5003,42.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,5003,27.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,5005,141.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,5005,135.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,5005,126.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,5005,99.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,5007,1358.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,5007,1232.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,5007,1096.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,5007,906.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,5009,148.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,5009,144.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,5009,133.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,5009,102.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,5011,74.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,5011,71.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,5011,56.0
