forecast_date,target,target_end_date,quantile,type,location,value
2020-12-21,4 wk ahead inc death,2021-01-16,,point,15,22.03324877406063
2020-12-21,5 wk ahead inc death,2021-01-23,,point,15,25.181793140380787
2020-12-21,6 wk ahead inc death,2021-01-30,,point,15,28.780263512999053
2020-12-21,7 wk ahead inc death,2021-02-06,,point,15,32.89295417765235
2020-12-21,8 wk ahead inc death,2021-02-13,,point,15,37.59334705342286
2020-12-21,1 wk ahead cum death,2020-12-26,,point,15,295.75890699624273
2020-12-21,2 wk ahead cum death,2021-01-02,,point,15,312.6268571913609
2020-12-21,3 wk ahead cum death,2021-01-09,,point,15,331.9052321995794
2020-12-21,4 wk ahead cum death,2021-01-16,,point,15,353.93848097363997
2020-12-21,5 wk ahead cum death,2021-01-23,,point,15,379.12027411402084
2020-12-21,6 wk ahead cum death,2021-01-30,,point,15,407.9005376270198
2020-12-21,7 wk ahead cum death,2021-02-06,,point,15,440.79349180467216
2020-12-21,8 wk ahead cum death,2021-02-13,,point,15,478.3868388580951
2020-12-21,1 wk ahead inc death,2020-12-26,,point,16,82.75838383894703
2020-12-21,2 wk ahead inc death,2021-01-02,,point,16,66.97955320864133
2020-12-21,3 wk ahead inc death,2021-01-09,,point,16,54.20913676564484
2020-12-21,4 wk ahead inc death,2021-01-16,,point,16,43.87354600175604
2020-12-21,5 wk ahead inc death,2021-01-23,,point,16,35.50855360582139
2020-12-21,6 wk ahead inc death,2021-01-30,,point,16,28.738442503075195
2020-12-21,7 wk ahead inc death,2021-02-06,,point,16,23.25913036815892
2020-12-21,8 wk ahead inc death,2021-02-13,,point,16,18.824511642380187
2020-12-21,1 wk ahead cum death,2020-12-26,,point,16,1357.7583838389467
2020-12-21,2 wk ahead cum death,2021-01-02,,point,16,1424.7379370475885
2020-12-21,3 wk ahead cum death,2021-01-09,,point,16,1478.9470738132336
2020-12-21,4 wk ahead cum death,2021-01-16,,point,16,1522.8206198149896
2020-12-21,5 wk ahead cum death,2021-01-23,,point,16,1558.3291734208105
2020-12-21,6 wk ahead cum death,2021-01-30,,point,16,1587.0676159238858
