location,type,quantile,value,target_end_date,forecast_date,target
55,point,,90,2021-05-22,2021-05-10,2 wk ahead inc death
55,point,,2234,2021-05-29,2021-05-10,3 wk ahead inc case
55,point,,93,2021-05-29,2021-05-10,3 wk ahead inc death
55,point,,1854,2021-06-05,2021-05-10,4 wk ahead inc case
55,point,,96,2021-06-05,2021-05-10,4 wk ahead inc death
56,point,,420,2021-05-15,2021-05-10,1 wk ahead inc case
56,point,,3,2021-05-15,2021-05-10,1 wk ahead inc death
56,point,,336,2021-05-22,2021-05-10,2 wk ahead inc case
56,point,,3,2021-05-22,2021-05-10,2 wk ahead inc death
56,point,,312,2021-05-29,2021-05-10,3 wk ahead inc case
56,point,,3,2021-05-29,2021-05-10,3 wk ahead inc death
56,point,,301,2021-06-05,2021-05-10,4 wk ahead inc case
56,point,,3,2021-06-05,2021-05-10,4 wk ahead inc death
US,point,,224895,2021-05-15,2021-05-10,1 wk ahead inc case
US,point,,4511,2021-05-15,2021-05-10,1 wk ahead inc death
US,point,,178983,2021-05-22,2021-05-10,2 wk ahead inc case
US,point,,4407,2021-05-22,2021-05-10,2 wk ahead inc death
US,point,,144083,2021-05-29,2021-05-10,3 wk ahead inc case
US,point,,4339,2021-05-29,2021-05-10,3 wk ahead inc death
US,point,,118484,2021-06-05,2021-05-10,4 wk ahead inc case
US,point,,4211,2021-06-05,2021-05-10,4 wk ahead inc death
01,point,,5027,2021-05-22,2021-05-17,1 wk ahead inc case
01,point,,71,2021-05-22,2021-05-17,1 wk ahead inc death
01,point,,3325,2021-05-29,2021-05-17,2 wk ahead inc case
01,point,,70,2021-05-29,2021-05-17,2 wk ahead inc death
01,point,,3234,2021-06-05,2021-05-17,3 wk ahead inc case
01,point,,68,2021-06-05,2021-05-17,3 wk ahead inc death
01,point,,3359,2021-06-12,2021-05-17,4 wk ahead inc case
01,point,,69,2021-06-12,2021-05-17,4 wk ahead inc death
02,point,,596,2021-05-22,2021-05-17,1 wk ahead inc case
02,point,,2,2021-05-22,2021-05-17,1 wk ahead inc death
02,point,,537,2021-05-29,2021-05-17,2 wk ahead inc case
02,point,,2,2021-05-29,2021-05-17,2 wk ahead inc death
