location,forecast_date,value,target_end_date,target,type,quantile
12079,2020-08-05,159,2020-08-22,2 wk ahead inc case,point,
12081,2020-08-05,1786,2020-08-22,2 wk ahead inc case,point,
12083,2020-08-05,2647,2020-08-22,2 wk ahead inc case,point,
12085,2020-08-05,535,2020-08-22,2 wk ahead inc case,point,
12086,2020-08-05,39201,2020-08-22,2 wk ahead inc case,point,
12087,2020-08-05,483,2020-08-22,2 wk ahead inc case,point,
12089,2020-08-05,307,2020-08-22,2 wk ahead inc case,point,
12091,2020-08-05,1165,2020-08-22,2 wk ahead inc case,point,
12093,2020-08-05,275,2020-08-22,2 wk ahead inc case,point,
12095,2020-08-05,6220,2020-08-22,2 wk ahead inc case,point,
12097,2020-08-05,2606,2020-08-22,2 wk ahead inc case,point,
12099,2020-08-05,12113,2020-08-22,2 wk ahead inc case,point,
12101,2020-08-05,1954,2020-08-22,2 wk ahead inc case,point,
12103,2020-08-05,3755,2020-08-22,2 wk ahead inc case,point,
12105,2020-08-05,3238,2020-08-22,2 wk ahead inc case,point,
12107,2020-08-05,437,2020-08-22,2 wk ahead inc case,point,
12113,2020-08-05,1326,2020-08-22,2 wk ahead inc case,point,
12115,2020-08-05,1643,2020-08-22,2 wk ahead inc case,point,
12117,2020-08-05,1599,2020-08-22,2 wk ahead inc case,point,
12119,2020-08-05,389,2020-08-22,2 wk ahead inc case,point,
12121,2020-08-05,298,2020-08-22,2 wk ahead inc case,point,
12123,2020-08-05,324,2020-08-22,2 wk ahead inc case,point,
12125,2020-08-05,80,2020-08-22,2 wk ahead inc case,point,
12127,2020-08-05,2262,2020-08-22,2 wk ahead inc case,point,
12129,2020-08-05,280,2020-08-22,2 wk ahead inc case,point,
12131,2020-08-05,391,2020-08-22,2 wk ahead inc case,point,
12133,2020-08-05,277,2020-08-22,2 wk ahead inc case,point,
13001,2020-08-05,99,2020-08-22,2 wk ahead inc case,point,
13003,2020-08-05,95,2020-08-22,2 wk ahead inc case,point,
13005,2020-08-05,105,2020-08-22,2 wk ahead inc case,point,
13007,2020-08-05,40,2020-08-22,2 wk ahead inc case,point,
13009,2020-08-05,340,2020-08-22,2 wk ahead inc case,point,
13011,2020-08-05,76,2020-08-22,2 wk ahead inc case,point,
13013,2020-08-05,424,2020-08-22,2 wk ahead inc case,point,
13015,2020-08-05,854,2020-08-22,2 wk ahead inc case,point,
13017,2020-08-05,131,2020-08-22,2 wk ahead inc case,point,
13019,2020-08-05,141,2020-08-22,2 wk ahead inc case,point,
13021,2020-08-05,1309,2020-08-22,2 wk ahead inc case,point,
13023,2020-08-05,180,2020-08-22,2 wk ahead inc case,point,
13025,2020-08-05,74,2020-08-22,2 wk ahead inc case,point,
13027,2020-08-05,85,2020-08-22,2 wk ahead inc case,point,
13029,2020-08-05,361,2020-08-22,2 wk ahead inc case,point,
13031,2020-08-05,358,2020-08-22,2 wk ahead inc case,point,
13033,2020-08-05,214,2020-08-22,2 wk ahead inc case,point,
13035,2020-08-05,103,2020-08-22,2 wk ahead inc case,point,
13037,2020-08-05,25,2020-08-22,2 wk ahead inc case,point,
13039,2020-08-05,348,2020-08-22,2 wk ahead inc case,point,
13043,2020-08-05,129,2020-08-22,2 wk ahead inc case,point,
13045,2020-08-05,448,2020-08-22,2 wk ahead inc case,point,
13047,2020-08-05,311,2020-08-22,2 wk ahead inc case,point,
13049,2020-08-05,203,2020-08-22,2 wk ahead inc case,point,
13051,2020-08-05,2618,2020-08-22,2 wk ahead inc case,point,
13053,2020-08-05,131,2020-08-22,2 wk ahead inc case,point,
13055,2020-08-05,89,2020-08-22,2 wk ahead inc case,point,
13057,2020-08-05,1186,2020-08-22,2 wk ahead inc case,point,
13059,2020-08-05,752,2020-08-22,2 wk ahead inc case,point,
13061,2020-08-05,35,2020-08-22,2 wk ahead inc case,point,
13063,2020-08-05,1492,2020-08-22,2 wk ahead inc case,point,
13065,2020-08-05,62,2020-08-22,2 wk ahead inc case,point,
13067,2020-08-05,4999,2020-08-22,2 wk ahead inc case,point,
13069,2020-08-05,428,2020-08-22,2 wk ahead inc case,point,
13071,2020-08-05,240,2020-08-22,2 wk ahead inc case,point,
13073,2020-08-05,1016,2020-08-22,2 wk ahead inc case,point,
13075,2020-08-05,146,2020-08-22,2 wk ahead inc case,point,
13077,2020-08-05,353,2020-08-22,2 wk ahead inc case,point,
13079,2020-08-05,39,2020-08-22,2 wk ahead inc case,point,
13081,2020-08-05,35,2020-08-22,2 wk ahead inc case,point,
13083,2020-08-05,39,2020-08-22,2 wk ahead inc case,point,
13085,2020-08-05,236,2020-08-22,2 wk ahead inc case,point,
13087,2020-08-05,341,2020-08-22,2 wk ahead inc case,point,
13089,2020-08-05,4148,2020-08-22,2 wk ahead inc case,point,
13091,2020-08-05,14,2020-08-22,2 wk ahead inc case,point,
13093,2020-08-05,26,2020-08-22,2 wk ahead inc case,point,
13095,2020-08-05,337,2020-08-22,2 wk ahead inc case,point,
13097,2020-08-05,739,2020-08-22,2 wk ahead inc case,point,
13099,2020-08-05,3,2020-08-22,2 wk ahead inc case,point,
13101,2020-08-05,24,2020-08-22,2 wk ahead inc case,point,
